pixel_id,point_data
60691,POINT(-74.75 -47.75)
60692,POINT(-74.25 -47.75)
60693,POINT(-73.75 -47.75)
60694,POINT(-73.25 -47.75)
60695,POINT(-72.75 -47.75)
60696,POINT(-72.25 -47.75)
60697,POINT(-71.75 -47.75)
60698,POINT(-71.25 -47.75)
60699,POINT(-70.75 -47.75)
60700,POINT(-70.25 -47.75)
60701,POINT(-69.75 -47.75)
60702,POINT(-69.25 -47.75)
60703,POINT(-68.75 -47.75)
60704,POINT(-68.25 -47.75)
60705,POINT(-67.75 -47.75)
60706,POINT(-67.25 -47.75)
60707,POINT(-66.75 -47.75)
60708,POINT(-66.25 -47.75)
60709,POINT(-65.75 -47.75)
61412,POINT(-74.25 -47.25)
61413,POINT(-73.75 -47.25)
61414,POINT(-73.25 -47.25)
61415,POINT(-72.75 -47.25)
61416,POINT(-72.25 -47.25)
61417,POINT(-71.75 -47.25)
61418,POINT(-71.25 -47.25)
61419,POINT(-70.75 -47.25)
61420,POINT(-70.25 -47.25)
61421,POINT(-69.75 -47.25)
61422,POINT(-69.25 -47.25)
61423,POINT(-68.75 -47.25)
61424,POINT(-68.25 -47.25)
61425,POINT(-67.75 -47.25)
61426,POINT(-67.25 -47.25)
61427,POINT(-66.75 -47.25)
61428,POINT(-66.25 -47.25)
61429,POINT(-65.75 -47.25)
61896,POINT(167.75 -47.25)
61897,POINT(168.25 -47.25)
62129,POINT(-75.75 -46.75)
62130,POINT(-75.25 -46.75)
62131,POINT(-74.75 -46.75)
62132,POINT(-74.25 -46.75)
62133,POINT(-73.75 -46.75)
62134,POINT(-73.25 -46.75)
62135,POINT(-72.75 -46.75)
62136,POINT(-72.25 -46.75)
62137,POINT(-71.75 -46.75)
62138,POINT(-71.25 -46.75)
62139,POINT(-70.75 -46.75)
62140,POINT(-70.25 -46.75)
62141,POINT(-69.75 -46.75)
62142,POINT(-69.25 -46.75)
62143,POINT(-68.75 -46.75)
62144,POINT(-68.25 -46.75)
62145,POINT(-67.75 -46.75)
62146,POINT(-67.25 -46.75)
62356,POINT(37.75 -46.75)
62384,POINT(51.75 -46.75)
62616,POINT(167.75 -46.75)
62617,POINT(168.25 -46.75)
62618,POINT(168.75 -46.75)
62619,POINT(169.25 -46.75)
62620,POINT(169.75 -46.75)
62850,POINT(-75.25 -46.25)
62851,POINT(-74.75 -46.25)
62852,POINT(-74.25 -46.25)
62853,POINT(-73.75 -46.25)
62854,POINT(-73.25 -46.25)
62855,POINT(-72.75 -46.25)
62856,POINT(-72.25 -46.25)
62857,POINT(-71.75 -46.25)
62858,POINT(-71.25 -46.25)
62859,POINT(-70.75 -46.25)
62860,POINT(-70.25 -46.25)
62861,POINT(-69.75 -46.25)
62862,POINT(-69.25 -46.25)
62863,POINT(-68.75 -46.25)
62864,POINT(-68.25 -46.25)
62865,POINT(-67.75 -46.25)
63104,POINT(51.75 -46.25)
63334,POINT(166.75 -46.25)
63335,POINT(167.25 -46.25)
63336,POINT(167.75 -46.25)
63337,POINT(168.25 -46.25)
63338,POINT(168.75 -46.25)
63339,POINT(169.25 -46.25)
63340,POINT(169.75 -46.25)
63341,POINT(170.25 -46.25)
63571,POINT(-74.75 -45.75)
63572,POINT(-74.25 -45.75)
63573,POINT(-73.75 -45.75)
63574,POINT(-73.25 -45.75)
63575,POINT(-72.75 -45.75)
63576,POINT(-72.25 -45.75)
63577,POINT(-71.75 -45.75)
63578,POINT(-71.25 -45.75)
63579,POINT(-70.75 -45.75)
63580,POINT(-70.25 -45.75)
63581,POINT(-69.75 -45.75)
63582,POINT(-69.25 -45.75)
63583,POINT(-68.75 -45.75)
63584,POINT(-68.25 -45.75)
63585,POINT(-67.75 -45.75)
63586,POINT(-67.25 -45.75)
64054,POINT(166.75 -45.75)
64055,POINT(167.25 -45.75)
64056,POINT(167.75 -45.75)
64057,POINT(168.25 -45.75)
64058,POINT(168.75 -45.75)
64059,POINT(169.25 -45.75)
64060,POINT(169.75 -45.75)
64061,POINT(170.25 -45.75)
64062,POINT(170.75 -45.75)
64291,POINT(-74.75 -45.25)
64292,POINT(-74.25 -45.25)
64293,POINT(-73.75 -45.25)
64294,POINT(-73.25 -45.25)
64295,POINT(-72.75 -45.25)
64296,POINT(-72.25 -45.25)
64297,POINT(-71.75 -45.25)
64298,POINT(-71.25 -45.25)
64299,POINT(-70.75 -45.25)
64300,POINT(-70.25 -45.25)
64301,POINT(-69.75 -45.25)
64302,POINT(-69.25 -45.25)
64303,POINT(-68.75 -45.25)
64304,POINT(-68.25 -45.25)
64305,POINT(-67.75 -45.25)
64306,POINT(-67.25 -45.25)
64307,POINT(-66.75 -45.25)
64308,POINT(-66.25 -45.25)
64309,POINT(-65.75 -45.25)
64774,POINT(166.75 -45.25)
64775,POINT(167.25 -45.25)
64776,POINT(167.75 -45.25)
64777,POINT(168.25 -45.25)
64778,POINT(168.75 -45.25)
64779,POINT(169.25 -45.25)
64780,POINT(169.75 -45.25)
64781,POINT(170.25 -45.25)
64782,POINT(170.75 -45.25)
64783,POINT(171.25 -45.25)
65011,POINT(-74.75 -44.75)
65012,POINT(-74.25 -44.75)
65013,POINT(-73.75 -44.75)
65014,POINT(-73.25 -44.75)
65015,POINT(-72.75 -44.75)
65016,POINT(-72.25 -44.75)
65017,POINT(-71.75 -44.75)
65018,POINT(-71.25 -44.75)
65019,POINT(-70.75 -44.75)
65020,POINT(-70.25 -44.75)
65021,POINT(-69.75 -44.75)
65022,POINT(-69.25 -44.75)
65023,POINT(-68.75 -44.75)
65024,POINT(-68.25 -44.75)
65025,POINT(-67.75 -44.75)
65026,POINT(-67.25 -44.75)
65027,POINT(-66.75 -44.75)
65028,POINT(-66.25 -44.75)
65029,POINT(-65.75 -44.75)
65495,POINT(167.25 -44.75)
65496,POINT(167.75 -44.75)
65497,POINT(168.25 -44.75)
65498,POINT(168.75 -44.75)
65499,POINT(169.25 -44.75)
65500,POINT(169.75 -44.75)
65501,POINT(170.25 -44.75)
65502,POINT(170.75 -44.75)
65503,POINT(171.25 -44.75)
65527,POINT(-176.75 -44.25)
65732,POINT(-74.25 -44.25)
65733,POINT(-73.75 -44.25)
65734,POINT(-73.25 -44.25)
65735,POINT(-72.75 -44.25)
65736,POINT(-72.25 -44.25)
65737,POINT(-71.75 -44.25)
65738,POINT(-71.25 -44.25)
65739,POINT(-70.75 -44.25)
65740,POINT(-70.25 -44.25)
65741,POINT(-69.75 -44.25)
65742,POINT(-69.25 -44.25)
65743,POINT(-68.75 -44.25)
65744,POINT(-68.25 -44.25)
65745,POINT(-67.75 -44.25)
65746,POINT(-67.25 -44.25)
65747,POINT(-66.75 -44.25)
65748,POINT(-66.25 -44.25)
65749,POINT(-65.75 -44.25)
65750,POINT(-65.25 -44.25)
66217,POINT(168.25 -44.25)
66218,POINT(168.75 -44.25)
66219,POINT(169.25 -44.25)
66220,POINT(169.75 -44.25)
66221,POINT(170.25 -44.25)
66222,POINT(170.75 -44.25)
66223,POINT(171.25 -44.25)
66224,POINT(171.75 -44.25)
66247,POINT(-176.75 -43.75)
66248,POINT(-176.25 -43.75)
66451,POINT(-74.75 -43.75)
66452,POINT(-74.25 -43.75)
66453,POINT(-73.75 -43.75)
66454,POINT(-73.25 -43.75)
66455,POINT(-72.75 -43.75)
66456,POINT(-72.25 -43.75)
66457,POINT(-71.75 -43.75)
66458,POINT(-71.25 -43.75)
66459,POINT(-70.75 -43.75)
66460,POINT(-70.25 -43.75)
66461,POINT(-69.75 -43.75)
66462,POINT(-69.25 -43.75)
66463,POINT(-68.75 -43.75)
66464,POINT(-68.25 -43.75)
66465,POINT(-67.75 -43.75)
66466,POINT(-67.25 -43.75)
66467,POINT(-66.75 -43.75)
66468,POINT(-66.25 -43.75)
66469,POINT(-65.75 -43.75)
66470,POINT(-65.25 -43.75)
66488,POINT(-56.25 -43.75)
66893,POINT(146.25 -43.75)
66894,POINT(146.75 -43.75)
66895,POINT(147.25 -43.75)
66939,POINT(169.25 -43.75)
66940,POINT(169.75 -43.75)
66941,POINT(170.25 -43.75)
66942,POINT(170.75 -43.75)
66943,POINT(171.25 -43.75)
66944,POINT(171.75 -43.75)
66945,POINT(172.25 -43.75)
66946,POINT(172.75 -43.75)
67172,POINT(-74.25 -43.25)
67173,POINT(-73.75 -43.25)
67174,POINT(-73.25 -43.25)
67175,POINT(-72.75 -43.25)
67176,POINT(-72.25 -43.25)
67177,POINT(-71.75 -43.25)
67178,POINT(-71.25 -43.25)
67179,POINT(-70.75 -43.25)
67180,POINT(-70.25 -43.25)
67181,POINT(-69.75 -43.25)
67182,POINT(-69.25 -43.25)
67183,POINT(-68.75 -43.25)
67184,POINT(-68.25 -43.25)
67185,POINT(-67.75 -43.25)
67186,POINT(-67.25 -43.25)
67187,POINT(-66.75 -43.25)
67188,POINT(-66.25 -43.25)
67189,POINT(-65.75 -43.25)
67190,POINT(-65.25 -43.25)
67191,POINT(-64.75 -43.25)
67192,POINT(-64.25 -43.25)
67612,POINT(145.75 -43.25)
67613,POINT(146.25 -43.25)
67614,POINT(146.75 -43.25)
67615,POINT(147.25 -43.25)
67616,POINT(147.75 -43.25)
67617,POINT(148.25 -43.25)
67660,POINT(169.75 -43.25)
67661,POINT(170.25 -43.25)
67662,POINT(170.75 -43.25)
67663,POINT(171.25 -43.25)
67664,POINT(171.75 -43.25)
67665,POINT(172.25 -43.25)
67666,POINT(172.75 -43.25)
67667,POINT(173.25 -43.25)
67892,POINT(-74.25 -42.75)
67893,POINT(-73.75 -42.75)
67894,POINT(-73.25 -42.75)
67895,POINT(-72.75 -42.75)
67896,POINT(-72.25 -42.75)
67897,POINT(-71.75 -42.75)
67898,POINT(-71.25 -42.75)
67899,POINT(-70.75 -42.75)
67900,POINT(-70.25 -42.75)
67901,POINT(-69.75 -42.75)
67902,POINT(-69.25 -42.75)
67903,POINT(-68.75 -42.75)
67904,POINT(-68.25 -42.75)
67905,POINT(-67.75 -42.75)
67906,POINT(-67.25 -42.75)
67907,POINT(-66.75 -42.75)
67908,POINT(-66.25 -42.75)
67909,POINT(-65.75 -42.75)
67910,POINT(-65.25 -42.75)
67911,POINT(-64.75 -42.75)
67912,POINT(-64.25 -42.75)
67913,POINT(-63.75 -42.75)
68331,POINT(145.25 -42.75)
68332,POINT(145.75 -42.75)
68333,POINT(146.25 -42.75)
68334,POINT(146.75 -42.75)
68335,POINT(147.25 -42.75)
68336,POINT(147.75 -42.75)
68337,POINT(148.25 -42.75)
68382,POINT(170.75 -42.75)
68383,POINT(171.25 -42.75)
68384,POINT(171.75 -42.75)
68385,POINT(172.25 -42.75)
68386,POINT(172.75 -42.75)
68387,POINT(173.25 -42.75)
68612,POINT(-74.25 -42.25)
68613,POINT(-73.75 -42.25)
68614,POINT(-73.25 -42.25)
68615,POINT(-72.75 -42.25)
68616,POINT(-72.25 -42.25)
68617,POINT(-71.75 -42.25)
68618,POINT(-71.25 -42.25)
68619,POINT(-70.75 -42.25)
68620,POINT(-70.25 -42.25)
68621,POINT(-69.75 -42.25)
68622,POINT(-69.25 -42.25)
68623,POINT(-68.75 -42.25)
68624,POINT(-68.25 -42.25)
68625,POINT(-67.75 -42.25)
68626,POINT(-67.25 -42.25)
68627,POINT(-66.75 -42.25)
68628,POINT(-66.25 -42.25)
68629,POINT(-65.75 -42.25)
68630,POINT(-65.25 -42.25)
68631,POINT(-64.75 -42.25)
68632,POINT(-64.25 -42.25)
68633,POINT(-63.75 -42.25)
69051,POINT(145.25 -42.25)
69052,POINT(145.75 -42.25)
69053,POINT(146.25 -42.25)
69054,POINT(146.75 -42.25)
69055,POINT(147.25 -42.25)
69056,POINT(147.75 -42.25)
69057,POINT(148.25 -42.25)
69103,POINT(171.25 -42.25)
69104,POINT(171.75 -42.25)
69105,POINT(172.25 -42.25)
69106,POINT(172.75 -42.25)
69107,POINT(173.25 -42.25)
69108,POINT(173.75 -42.25)
69109,POINT(174.25 -42.25)
69333,POINT(-73.75 -41.75)
69334,POINT(-73.25 -41.75)
69335,POINT(-72.75 -41.75)
69336,POINT(-72.25 -41.75)
69337,POINT(-71.75 -41.75)
69338,POINT(-71.25 -41.75)
69339,POINT(-70.75 -41.75)
69340,POINT(-70.25 -41.75)
69341,POINT(-69.75 -41.75)
69342,POINT(-69.25 -41.75)
69343,POINT(-68.75 -41.75)
69344,POINT(-68.25 -41.75)
69345,POINT(-67.75 -41.75)
69346,POINT(-67.25 -41.75)
69347,POINT(-66.75 -41.75)
69348,POINT(-66.25 -41.75)
69349,POINT(-65.75 -41.75)
69350,POINT(-65.25 -41.75)
69770,POINT(144.75 -41.75)
69771,POINT(145.25 -41.75)
69772,POINT(145.75 -41.75)
69773,POINT(146.25 -41.75)
69774,POINT(146.75 -41.75)
69775,POINT(147.25 -41.75)
69776,POINT(147.75 -41.75)
69777,POINT(148.25 -41.75)
69824,POINT(171.75 -41.75)
69825,POINT(172.25 -41.75)
69826,POINT(172.75 -41.75)
69827,POINT(173.25 -41.75)
69828,POINT(173.75 -41.75)
69829,POINT(174.25 -41.75)
69831,POINT(175.25 -41.75)
70053,POINT(-73.75 -41.25)
70054,POINT(-73.25 -41.25)
70055,POINT(-72.75 -41.25)
70056,POINT(-72.25 -41.25)
70057,POINT(-71.75 -41.25)
70058,POINT(-71.25 -41.25)
70059,POINT(-70.75 -41.25)
70060,POINT(-70.25 -41.25)
70061,POINT(-69.75 -41.25)
70062,POINT(-69.25 -41.25)
70063,POINT(-68.75 -41.25)
70064,POINT(-68.25 -41.25)
70065,POINT(-67.75 -41.25)
70066,POINT(-67.25 -41.25)
70067,POINT(-66.75 -41.25)
70068,POINT(-66.25 -41.25)
70069,POINT(-65.75 -41.25)
70070,POINT(-65.25 -41.25)
70072,POINT(-64.25 -41.25)
70073,POINT(-63.75 -41.25)
70074,POINT(-63.25 -41.25)
70075,POINT(-62.75 -41.25)
70490,POINT(144.75 -41.25)
70491,POINT(145.25 -41.25)
70492,POINT(145.75 -41.25)
70493,POINT(146.25 -41.25)
70494,POINT(146.75 -41.25)
70495,POINT(147.25 -41.25)
70496,POINT(147.75 -41.25)
70497,POINT(148.25 -41.25)
70545,POINT(172.25 -41.25)
70546,POINT(172.75 -41.25)
70547,POINT(173.25 -41.25)
70548,POINT(173.75 -41.25)
70549,POINT(174.25 -41.25)
70550,POINT(174.75 -41.25)
70551,POINT(175.25 -41.25)
70552,POINT(175.75 -41.25)
70553,POINT(176.25 -41.25)
70773,POINT(-73.75 -40.75)
70774,POINT(-73.25 -40.75)
70775,POINT(-72.75 -40.75)
70776,POINT(-72.25 -40.75)
70777,POINT(-71.75 -40.75)
70778,POINT(-71.25 -40.75)
70779,POINT(-70.75 -40.75)
70780,POINT(-70.25 -40.75)
70781,POINT(-69.75 -40.75)
70782,POINT(-69.25 -40.75)
70783,POINT(-68.75 -40.75)
70784,POINT(-68.25 -40.75)
70785,POINT(-67.75 -40.75)
70786,POINT(-67.25 -40.75)
70787,POINT(-66.75 -40.75)
70788,POINT(-66.25 -40.75)
70789,POINT(-65.75 -40.75)
70790,POINT(-65.25 -40.75)
70791,POINT(-64.75 -40.75)
70792,POINT(-64.25 -40.75)
70793,POINT(-63.75 -40.75)
70794,POINT(-63.25 -40.75)
70795,POINT(-62.75 -40.75)
70796,POINT(-62.25 -40.75)
71210,POINT(144.75 -40.75)
71211,POINT(145.25 -40.75)
71212,POINT(145.75 -40.75)
71214,POINT(146.75 -40.75)
71215,POINT(147.25 -40.75)
71216,POINT(147.75 -40.75)
71217,POINT(148.25 -40.75)
71265,POINT(172.25 -40.75)
71266,POINT(172.75 -40.75)
71270,POINT(174.75 -40.75)
71271,POINT(175.25 -40.75)
71272,POINT(175.75 -40.75)
71273,POINT(176.25 -40.75)
71493,POINT(-73.75 -40.25)
71494,POINT(-73.25 -40.25)
71495,POINT(-72.75 -40.25)
71496,POINT(-72.25 -40.25)
71497,POINT(-71.75 -40.25)
71498,POINT(-71.25 -40.25)
71499,POINT(-70.75 -40.25)
